name,y,x,is_public,label
CEI Alwin Knaesel  ,-26.812683292371876,-49.10805023304879,yes,creche
CEI Carlos Rohweder  ,-26.795900000427704,-49.106351023845214,yes,creche
CEI Cilly Jensen  ,-26.794377178745954,-49.086704791666115,yes,creche
CEI Irmgard Zoschke  ,-26.8213945986253,-49.09147410772101,yes,creche
CEI Nazaré  ,-26.78580829266527,-49.08608860533572,yes,creche
CEI Prof. Paulo Freire  ,-26.836015824734663,-49.09285931972093,yes,creche
CEI Profª. Andréa da Silva  ,-26.823887140700055,-49.09098362230655,yes,creche
CEI Profª. Lenyr Peiter Starke  ,-26.816025900219675,-49.09582379821097,yes,creche
CEI Wilhelm Theodor Schürmann  ,-26.834738130931978,-49.08421499444421,yes,creche
CEI Johanna Conrad  ,-26.72818328100714,-49.06821043155193,yes,creche
CEI Profª. Erna Anna Trapp  ,-26.70478002768464,-49.10191637883552,yes,creche
CEI Paulo Zimmermann  ,-26.8485326167563,-49.071167694864776,yes,creche
CEI Walter Rosemann  ,-26.830185025776032,-49.06150561024108,yes,creche
CEI Edgar Sasse  ,-26.860237370188248,-49.047363827748434,yes,creche
CEI Emília Piske  ,-26.855799145949774,-49.0582241530532,yes,creche
CEI Manoela Reinert  ,-26.87196415711457,-49.083005665240364,yes,creche
CEI Max Scheidemantel  ,-26.882390987350558,-49.07274202869958,yes,creche
CEI Anilda Batista Schmitt  ,-26.877688904941675,-49.06659186767741,yes,creche
CEI Arno Bernardes  ,-26.869428860791782,-49.060161539336725,yes,creche
CEI Profª Marlise S. Theis  ,-26.881026492665505,-49.063466810665886,yes,creche
CEI Daniel Bressanini  ,-26.880782227590462,-49.04557386059605,yes,creche
CEI Heinrich Reif  ,-26.891468325068196,-49.05453163520702,yes,creche
CEI Emma Tribess  ,-26.870058931959157,-49.04962575837001,yes,creche
CEI Elfrida Fischer Vieira  ,-26.855481751397395,-49.09402264365355,yes,creche
CEI Franz Volles  ,-26.839099524481252,-49.104009037537985,yes,creche
CEI Frei Silvério Weber  ,-26.852898324222622,-49.13938910131025,yes,creche
CEI Frei Odorico Durieux  ,-26.85341572459422,-49.12073421547184,yes,creche
CEI Irmã Mª Christa Prüllage  ,-26.851700818018756,-49.11060409986139,yes,creche
CEI Leonardo Laurindo Terres  ,-26.857245753447305,-49.10979978504671,yes,creche
CEI Robert Rudolph Barth  ,-26.85358533893292,-49.10415632040257,yes,creche
